vf_source_state,reg_date_time_period,age_bucket,Count,
OK,Pre-Parkland,18-29,8092,
OK,Pre-Parkland,30-39,4034,
OK,Pre-Parkland,40-49,2788,
OK,Pre-Parkland,50-64,3771,
OK,Pre-Parkland,65+,2462,
OK,Pre-Parkland,Unknown,1,
OR,Post-Parkland,18-29,31652,
OR,Post-Parkland,30-39,21912,
OR,Post-Parkland,40-49,12947,
OR,Post-Parkland,50-64,15546,
OR,Post-Parkland,65+,11072,
OR,Post-Parkland,Unknown,5,
OR,Pre-Parkland,18-29,40477,
OR,Pre-Parkland,30-39,28863,
OR,Pre-Parkland,40-49,17493,
OR,Pre-Parkland,50-64,21508,
OR,Pre-Parkland,65+,16727,
OR,Pre-Parkland,Unknown,8,
PA,Post-Parkland,18-29,32310,
PA,Post-Parkland,30-39,7086,
PA,Post-Parkland,40-49,4531,
PA,Post-Parkland,50-64,5401,
PA,Post-Parkland,65+,3311,
PA,Post-Parkland,Unknown,1,
PA,Pre-Parkland,18-29,18450,
PA,Pre-Parkland,30-39,7658,
PA,Pre-Parkland,40-49,5062,
PA,Pre-Parkland,50-64,6026,
PA,Pre-Parkland,65+,3582,
RI,Post-Parkland,18-29,6016,
RI,Post-Parkland,30-39,2117,
RI,Post-Parkland,40-49,1224,
RI,Post-Parkland,50-64,1733,
RI,Post-Parkland,65+,1011,
RI,Post-Parkland,Unknown,4,
RI,Pre-Parkland,18-29,25906,
RI,Pre-Parkland,30-39,15212,
RI,Pre-Parkland,40-49,8773,
RI,Pre-Parkland,50-64,11022,
RI,Pre-Parkland,65+,6109,
RI,Pre-Parkland,Unknown,1,
SD,Post-Parkland,18-29,4065,
SD,Post-Parkland,30-39,3550,
SD,Post-Parkland,40-49,2387,
SD,Post-Parkland,50-64,3400,
SD,Post-Parkland,65+,2948,
SD,Post-Parkland,Unknown,2,
SD,Pre-Parkland,18-29,3185,
SD,Pre-Parkland,30-39,2688,
SD,Pre-Parkland,40-49,1827,
SD,Pre-Parkland,50-64,2531,
SD,Pre-Parkland,65+,1896,
SD,Pre-Parkland,Unknown,3,
TN,Post-Parkland,18-29,20334,
TN,Post-Parkland,30-39,8642,
TN,Post-Parkland,40-49,6106,
TN,Post-Parkland,50-64,8043,
TN,Post-Parkland,65+,4731,
TN,Post-Parkland,Unknown,2,
TN,Pre-Parkland,18-29,13501,
TN,Pre-Parkland,30-39,6640,
TN,Pre-Parkland,40-49,4780,
TN,Pre-Parkland,50-64,6368,
TN,Pre-Parkland,65+,3625,
TN,Pre-Parkland,Unknown,2,
TX,Post-Parkland,18-29,110110,
TX,Post-Parkland,30-39,54638,
TX,Post-Parkland,40-49,37827,
TX,Post-Parkland,50-64,44516,
TX,Post-Parkland,65+,26123,
TX,Post-Parkland,Unknown,1,
TX,Pre-Parkland,18-29,112572,
TX,Pre-Parkland,30-39,56155,
TX,Pre-Parkland,40-49,39866,
TX,Pre-Parkland,50-64,45203,
TX,Pre-Parkland,65+,26344,
TX,Pre-Parkland,Unknown,2,
UT,Post-Parkland,18-29,24232,
UT,Post-Parkland,30-39,17418,
UT,Post-Parkland,40-49,11443,
UT,Post-Parkland,50-64,13280,
UT,Post-Parkland,65+,13254,
UT,Post-Parkland,Unknown,19,
UT,Pre-Parkland,18-29,14135,
UT,Pre-Parkland,30-39,11770,
UT,Pre-Parkland,40-49,7646,
UT,Pre-Parkland,50-64,7845,
UT,Pre-Parkland,65+,5274,
UT,Pre-Parkland,Unknown,1,
VA,Post-Parkland,18-29,26090,
VA,Post-Parkland,30-39,7149,
VA,Post-Parkland,40-49,4918,
VA,Post-Parkland,50-64,5095,
VA,Post-Parkland,65+,2604,
VA,Post-Parkland,Unknown,16,
VA,Pre-Parkland,18-29,18173,
VA,Pre-Parkland,30-39,7721,
VA,Pre-Parkland,40-49,5219,
VA,Pre-Parkland,50-64,5342,
VA,Pre-Parkland,65+,2721,
VT,Post-Parkland,18-29,4698,
VT,Post-Parkland,30-39,2005,
VT,Post-Parkland,40-49,1151,
VT,Post-Parkland,50-64,1572,
VT,Post-Parkland,65+,980,
VT,Post-Parkland,Unknown,3,
VT,Pre-Parkland,18-29,3033,
VT,Pre-Parkland,30-39,1712,
VT,Pre-Parkland,40-49,954,
VT,Pre-Parkland,50-64,1258,
VT,Pre-Parkland,65+,801,
VT,Pre-Parkland,Unknown,3,
WA,Post-Parkland,18-29,17494,
WA,Post-Parkland,30-39,9428,
WA,Post-Parkland,40-49,5923,
WA,Post-Parkland,50-64,7701,
WA,Post-Parkland,65+,6114,
WA,Pre-Parkland,18-29,22538,
WA,Pre-Parkland,30-39,14995,
WA,Pre-Parkland,40-49,9271,
WA,Pre-Parkland,50-64,11710,
WA,Pre-Parkland,65+,7940,
WI,Post-Parkland,18-29,11486,
WI,Post-Parkland,30-39,13463,
WI,Post-Parkland,40-49,9197,
WI,Post-Parkland,50-64,15600,
WI,Post-Parkland,65+,10901,
WI,Post-Parkland,Unknown,21166,
WI,Pre-Parkland,18-29,1799,
WI,Pre-Parkland,30-39,2452,
WI,Pre-Parkland,40-49,2194,
WI,Pre-Parkland,50-64,4013,
WI,Pre-Parkland,65+,5839,
WI,Pre-Parkland,Unknown,5299,
WV,Post-Parkland,18-29,8456,
WV,Post-Parkland,30-39,2690,
WV,Post-Parkland,40-49,1888,
WV,Post-Parkland,50-64,2455,
WV,Post-Parkland,65+,1282,
WV,Post-Parkland,Unknown,1,
WV,Pre-Parkland,18-29,9507,
WV,Pre-Parkland,30-39,1893,
WV,Pre-Parkland,40-49,1378,
WV,Pre-Parkland,50-64,1691,
WV,Pre-Parkland,65+,880,
WY,Post-Parkland,18-29,31,
WY,Post-Parkland,30-39,42,
WY,Post-Parkland,40-49,42,
WY,Post-Parkland,50-64,88,
WY,Post-Parkland,65+,103,
WY,Post-Parkland,Unknown,1007,
WY,Pre-Parkland,18-29,83,
WY,Pre-Parkland,30-39,67,
WY,Pre-Parkland,40-49,63,
WY,Pre-Parkland,50-64,153,
WY,Pre-Parkland,65+,123,
WY,Pre-Parkland,Unknown,388,
